deltap,deltapcp,name,year,geoid,HPI,geo,ua,popu,data_id,area,popdse,logpop,logpopdse
0.035738924,0.038424915,39133_2012,2012,39133,0.9482,0.137707504,2.693589947,161.482,53,195.8077058,0.824696859,5.084393681,-0.192739404
0.052267913,0.037445263,55025_2012,2012,55025,1.3127,0.022313236,3.242190199,503.594,54,478.1601473,1.053191076,6.221770388,0.051824675
0.050323881,0.053652245,39035_2012,2012,39035,0.886,0.117097622,1.307294848,1265.798,55,480.9362198,2.631945667,7.143458032,0.96772337
0.040843373,0.034773669,37071_2012,2012,37071,1.0276,0.287051671,2.586683178,208.161,56,140.4831679,1.48175047,5.338311819,0.393224139
0.028367319,0.023053232,39055_2012,2012,39055,0.9841,0.117448849,2.083622144,93.859,57,157.8036981,0.594783273,4.541793656,-0.519558187
0.004678311,0.005837843,42007_2013,2013,42007,1.2506,0.106446664,1.657362219,170.072,58,171.4060672,0.99221692,5.136221877,-0.007813527
0.122038921,0.122941608,17041_2013,2013,17041,1.2375,0.034228919,2.974099685,19.804,59,161.1743675,0.122873136,2.985883937,-2.096602869
0.050555796,0.042364333,4021_2013,2013,4021,1.0711,0.007684832,1.989461625,385.36,60,2075.100676,0.185706652,5.954177962,-1.683586988
0.038643243,0.043950924,17147_2013,2013,17147,1.2257,0.034034042,1.58315268,16.437,61,170.0199615,0.096676883,2.799534891,-2.336380959
0.007627343,-0.006108947,37021_2013,2013,37021,1.4385,0.085278053,1.116365221,247.618,62,254.8465438,0.9716357,5.511887236,-0.028774339
0.025650852,0.008864511,37025_2013,2013,37025,1.0461,0.316470686,1.648254467,187.477,63,140.9349071,1.33023822,5.233656171,0.285358039
0.019822345,0.018623093,39085_2013,2013,39085,0.9355,0.103636245,1.616715544,229.605,64,378.0014595,0.60741829,5.436360441,-0.498537615
0.023161286,0.00258885,37179_2013,2013,37179,1.0951,0.323113379,1.625435198,212.623,65,246.9662045,0.860939659,5.359520644,-0.149730859
0.013606419,0.011112551,37159_2013,2013,37159,1.0442,0.282028033,1.457058225,138.18,66,202.2749123,0.683129699,4.928557183,-0.381070541
-0.019907315,-0.014131775,42129_2013,2013,42129,1.2446,0.091702774,1.169557866,361.128,67,400.1791513,0.902415828,5.889232466,-0.102679859
0.020109989,0.021346294,42125_2013,2013,42125,1.3191,0.095186197,1.451294825,208.184,68,332.433716,0.626242135,5.338422304,-0.468018186
0.013097162,-0.007021254,45091_2013,2013,45091,1.1416,0.353434374,2.062426097,239.313,69,268.6381028,0.890837887,5.477772319,-0.115592813
0.024960523,0.019127894,39103_2013,2013,39103,0.9788,0.109597629,1.734401448,174.667,70,163.3712871,1.069141359,5.162881304,0.066855858
0.058713827,0.042128868,45057_2013,2013,45057,1.1293,0.349084781,2.177470974,80.43,71,214.4100942,0.375122264,4.387387241,-0.980503269
0.03214288,0.023599431,17019_2013,2013,17019,1.2576,0.034860019,1.965319637,205.785,72,385.1597883,0.534284747,5.326831934,-0.626826348
0.033329138,0.026687143,37109_2013,2013,37109,1.1591,0.27498986,1.060856947,79.475,73,118.5564423,0.670355811,4.375442507,-0.399946647
0.000638483,-0.01427978,32003_2013,2013,32003,1.0012,0.006527766,1.219993846,2028.421,74,3123.969591,0.649308817,7.615012937,-0.43184684
0.018300198,0.016414202,39153_2013,2013,39153,0.9336,0.141631106,1.764245875,542.195,75,162.2013985,3.342727037,6.295625715,1.206786952
0.025169393,0.007330514,4013_2013,2013,4013,1.2959,0.007668776,3.029404705,4015.328,76,3561.73576,1.127351458,8.297874317,0.119871039
-0.116887356,-0.137774915,37119_2013,2013,37119,1.1671,0.355247692,0.602649428,991.904,77,212.2556458,4.673157203,6.899626328,1.541834904
0.007302227,0.004895273,42003_2013,2013,42003,1.3387,0.109252753,1.302687326,1233.814,78,287.5416507,4.290905324,7.117865464,1.456497742
0.022938282,0.018886758,39093_2013,2013,39093,0.8855,0.093339976,1.754008997,302.851,79,356.4067815,0.849734112,5.713240935,-0.162831788
0.013624699,0.014939233,36019_2013,2013,36019,1.455,0.018615016,1.5155541,81.757,80,431.5383457,0.189454775,4.403751433,-1.66360494
0.009021904,0.002696729,42029_2013,2013,42029,1.4627,0.037940345,1.964886575,509.624,81,293.3833721,1.737058226,6.233673199,0.552193008
0.010610196,0.009898053,39133_2013,2013,39133,0.9646,0.137707504,1.584124349,161.593,82,195.8077058,0.825263742,5.085080828,-0.192052257
0.040797562,0.027075441,55025_2013,2013,55025,1.3231,0.022313236,3.238572155,510.322,83,478.1601473,1.067261675,6.235041899,0.065096186
-0.002577558,-0.000979236,39035_2013,2013,39035,0.8879,0.117097622,1.232630847,1263.796,84,480.9362198,2.627782953,7.141875169,0.966140507
0.015841388,0.009584758,37071_2013,2013,37071,1.0479,0.287051671,1.631795471,209.45,85,140.4831679,1.490925946,5.344485047,0.399397367
0.012863587,0.012041754,39055_2013,2013,39055,0.9899,0.117448849,1.549632355,93.935,86,157.8036981,0.595264884,4.542603054,-0.51874879
0.027757395,0.032233155,42007_2014,2014,42007,1.2866,0.106446664,1.680506427,169.338,87,171.4060672,0.987934691,5.131896718,-0.012138686
-0.016121112,-0.01908098,17041_2014,2014,17041,1.302,0.034228919,1.09210468,19.864,88,161.1743675,0.123245404,2.988909048,-2.093577758
0.067251048,0.0371976,4021_2014,2014,4021,1.1775,0.007684832,1.873975646,396.521,89,2075.100676,0.191085187,5.982729003,-1.655035947
0.004163251,0.003570366,17147_2014,2014,17147,1.2499,0.034034042,1.779377806,16.447,90,170.0199615,0.0967357,2.80014309,-2.335772761
0.067326405,0.055908957,37021_2014,2014,37021,1.519,0.085278053,2.40023829,250.297,91,254.8465438,0.982147909,5.522648213,-0.018013362
0.066718475,0.041956122,37025_2014,2014,37025,1.0844,0.316470686,2.669869771,191.929,92,140.9349071,1.361827272,5.257125512,0.30882738
0.043913331,0.045671149,39085_2014,2014,39085,0.9565,0.103636245,2.613009218,229.22,93,378.0014595,0.606399775,5.434682241,-0.500215816
