,2009,2010,2011,2012,2013,2014,2015
K. (Financial And Insurance Activities),,,,,8428839,(1)*,
L. (Real Estate Activities),205243938,256594968,311658500,397106812,465714475,580579066,686886268
"M. (Professional, Scientific And Technical Activities)",2561827601,2983852885,3394463361,4787882275,5110658738,5843657553,6881198776
N. (Administrative And Support Service Activities),2430669837,3177255781,3898001051,4872652476,6189196172,7408455178,8504125474
O. (Public Administration And Defence; Compulsory Social Security),,,,,(1)*,(1)*,
P. (Education),1292656985,1617921342,1788725723,2266842564,2762291543,3316057256,3764345949
Q. (Human Health And Social Work Activities),1154450052,1322025741,1552103540,2086288807,2434656331,2872615200,3330633005
"R. (Arts, Entertainment And Recreation)",257061266,296079093,460850441,563347940,866508994,996481120,984044065
S. (Other Service Activities),198577755,235871649,280501987,408680681,530046295,677879112,670658832
,,,,,,,
