GeoFIPS,GeoName,income2010,income2011,income2012,income2013,income2014,income2015,incomePer2010,incomePer2011,incomePer2012,incomePer2013,incomePer2014,incomePer2015,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015
46013,"Brown, SD",1533197,1702104,1804639,1728419,1818597,1939287,41832,46020,47980,45111,47111,50001,36651,36986,37612,38315,38602,38785
46015,"Brule, SD",194818,249309,212178,257595,241313,233657,36862,46819,39846,47782,45283,44245,5285,5325,5325,5391,5329,5281
46017,"Buffalo, SD",45690,52300,59936,55489,49663,53089,23661,26468,29730,27470,23831,25341,1931,1976,2016,2020,2084,2095
46019,"Butte, SD",294772,322995,314823,321564,351345,348332,29099,31325,30738,31162,34088,33875,10130,10311,10242,10319,10307,10283
46021,"Campbell, SD",53896,72690,64678,70035,64640,58268,36614,51444,46699,52382,47011,41709,1472,1413,1385,1337,1375,1397
46023,"Charles Mix, SD",327816,385434,363025,415189,377508,385819,35878,41982,39476,45198,40821,41119,9137,9181,9196,9186,9248,9383
46025,"Clark, SD",131843,200307,180920,207969,188987,163420,35681,55718,50452,57371,51608,44662,3695,3595,3586,3625,3662,3659
46027,"Clay, SD",434434,457794,442089,508295,481854,503009,31399,32625,31340,36400,34440,36022,13836,14032,14106,13964,13991,13964
46029,"Codington, SD",1025280,1114849,1179400,1152367,1153202,1196340,37664,40679,42735,41381,41245,42820,27222,27406,27598,27848,27960,27939
46031,"Corson, SD",97965,118316,124755,115900,127739,113770,24082,29243,30562,27432,30450,27107,4068,4046,4082,4225,4195,4197
46033,"Custer, SD",277636,310539,312109,316766,351506,358155,33567,37244,37518,37612,41623,42405,8271,8338,8319,8422,8445,8446
46035,"Davison, SD",768707,857523,842306,880906,924850,995527,39411,43742,42573,44432,46566,50132,19505,19604,19785,19826,19861,19858
46037,"Day, SD",212705,262911,255000,256145,234862,231581,37212,45613,45301,45740,42257,41809,5716,5764,5629,5600,5558,5539
46039,"Deuel, SD",187896,243043,225222,233003,218887,220800,43214,55591,51515,54086,50668,50958,4348,4372,4372,4308,4320,4333
46041,"Dewey, SD",185214,209834,209421,199556,221964,199687,34775,38829,37795,35705,39099,35125,5326,5404,5541,5589,5677,5685
46043,"Douglas, SD",135396,167851,152157,175120,153310,165385,45344,56231,51387,58471,52005,55554,2986,2985,2961,2995,2948,2977
46045,"Edmunds, SD",159972,222801,202693,190231,202879,192057,39286,54904,50346,47204,50987,48026,4072,4058,4026,4030,3979,3999
46047,"Fall River, SD",252629,295244,290354,274253,299348,300544,35522,42335,41527,40148,43611,43766,7112,6974,6992,6831,6864,6867
46049,"Faulk, SD",97179,148493,133398,120281,125837,102198,41090,62629,56239,50730,53662,43730,2365,2371,2372,2371,2345,2337
46051,"Grant, SD",298952,354630,323059,349899,393306,453206,40696,48901,44535,48162,54467,63456,7346,7252,7254,7265,7221,7142
46053,"Gregory, SD",156125,202532,166678,185794,179718,173250,36623,47948,39209,43881,42577,41240,4263,4224,4251,4234,4221,4201
46055,"Haakon, SD",74198,88202,85295,85975,109025,98262,38585,46155,44634,45586,59028,52801,1923,1911,1911,1886,1847,1861
46057,"Hamlin, SD",192481,247770,245830,238625,212037,224244,32486,41565,41288,40105,35351,37084,5925,5961,5954,5950,5998,6047
46059,"Hand, SD",133462,192441,184512,211647,186920,175915,38888,55893,54460,62231,55730,52543,3432,3443,3388,3401,3354,3348
46061,"Hanson, SD",176218,207549,198804,234072,216681,217689,52855,61478,58800,69089,63748,64310,3334,3376,3381,3388,3399,3385
46063,"Harding, SD",42322,60043,76175,64680,80740,69579,33994,46294,57840,51050,64386,54916,1245,1297,1317,1267,1254,1267
46065,"Hughes, SD",764399,806915,822986,802269,847239,861719,44801,46694,47203,45994,48092,49087,17062,17281,17435,17443,17617,17555
46067,"Hutchinson, SD",344825,387944,342051,404272,349433,364694,46992,53859,47382,56329,48344,49951,7338,7203,7219,7177,7228,7301
46069,"Hyde, SD",50343,77361,77318,80842,73717,64318,35528,55416,53993,58454,52806,46040,1417,1396,1432,1383,1396,1397
46071,"Jackson, SD",75785,86997,84488,79028,93002,84612,24872,27418,26602,24429,28372,25478,3047,3173,3176,3235,3278,3321
46073,"Jerauld, SD",83121,110071,96520,111782,93995,106009,39885,53277,47383,54475,46880,53084,2084,2066,2037,2052,2005,1997
46075,"Jones, SD",41090,55811,57834,59248,61383,55034,40886,54824,57375,59846,63609,59561,1005,1018,1008,990,965,924
46077,"Kingsbury, SD",217593,301024,270418,277424,260192,241943,42366,58214,51715,54719,51259,48486,5136,5171,5229,5070,5076,4990
46079,"Lake, SD",481054,579061,556742,608473,651657,735844,42639,49898,47070,50496,52864,58299,11282,11605,11828,12050,12327,12622
46081,"Lawrence, SD",897532,942970,987440,982736,1049075,1091998,37093,38750,40474,39387,42443,43984,24197,24335,24397,24951,24717,24827
46083,"Lincoln, SD",2258034,2558942,2662573,2734516,3031179,3342251,49982,54704,55086,54809,58838,63242,45177,46778,48335,49892,51517,52849
46085,"Lyman, SD",138376,168485,164896,194066,150063,169387,36861,44118,43646,50341,38886,43701,3754,3819,3778,3855,3859,3876
46087,"McCook, SD",222338,283704,248875,285147,244052,258863,39632,50943,44410,50477,43249,46234,5610,5569,5604,5649,5643,5599
46089,"McPherson, SD",89037,112641,117869,98471,104913,98797,36297,46127,48586,40407,43245,40910,2453,2442,2426,2437,2426,2415
46091,"Marshall, SD",193414,228705,233898,219471,216533,216606,41639,49503,50160,46175,46090,45420,4645,4620,4663,4753,4698,4769
46093,"Meade, SD",880997,1003986,998086,932318,1021394,1042879,34558,39244,38532,35143,37966,38645,25493,25583,25903,26529,26903,26986
46095,"Mellette, SD",56210,61578,59012,53992,63990,56701,27622,29212,28235,25933,30457,27659,2035,2108,2090,2082,2101,2050
46097,"Miner, SD",95990,125437,102693,114658,104745,105887,40383,53651,44302,49273,45364,47356,2377,2338,2318,2327,2309,2236
46099,"Minnehaha, SD",7707893,7708354,8406730,8139386,8762366,9400676,45322,44817,47919,45361,47974,50760,170071,171996,175435,179434,182649,185197
46101,"Moody, SD",256893,328982,307229,324181,281586,312923,39656,50706,47618,50464,44005,48666,6478,6488,6452,6424,6399,6430
46102,"Oglala Lakota, SD*",298390,318835,318518,309296,340773,336416,21876,22920,22640,21818,23941,23406,13640,13911,14069,14176,14234,14373
46103,"Pennington, SD",4180905,4297386,4542875,4515773,4872005,5052509,41273,41947,43438,42435,44996,46480,101300,102448,104582,106416,108277,108702
46105,"Perkins, SD",110955,116850,125062,112211,136114,118512,37196,38782,41275,36912,44701,39255,2983,3013,3030,3040,3045,3019
46107,"Potter, SD",207562,232211,280363,268732,252082,191651,88664,98228,119151,113437,108004,82608,2341,2364,2353,2369,2334,2320
46109,"Roberts, SD",304870,352411,362335,340265,325652,344152,29948,34188,35008,33103,31482,33377,10180,10308,10350,10279,10344,10311
46111,"Sanborn, SD",89447,117250,97802,102550,94384,120494,37966,49661,42083,44203,40456,51165,2356,2361,2324,2320,2333,2355
46115,"Spink, SD",304845,391980,375628,368765,328369,333813,47558,60277,56451,55967,49904,51167,6410,6503,6654,6589,6580,6524
46117,"Stanley, SD",137141,160862,172976,192043,174237,190578,46113,54089,58398,64945,58765,64515,2974,2974,2962,2957,2965,2954
46119,"Sully, SD",107786,136897,131042,127789,122721,85570,78162,98558,90812,87827,86060,60007,1379,1389,1443,1455,1426,1426
46121,"Todd, SD",215062,230138,229964,227071,241109,243991,22302,23319,23142,22673,24281,24500,9643,9869,9937,10015,9930,9959
46123,"Tripp, SD",206054,272865,242237,253118,256844,250275,36547,48691,44180,46038,46707,46057,5638,5604,5483,5498,5499,5434
46125,"Turner, SD",331048,433921,358227,443281,420356,540023,39670,51836,43020,53081,50934,65784,8345,8371,8327,8351,8253,8209
46127,"Union, SD",1308226,1175150,1302141,1196916,1233017,1322537,90297,80429,87645,80807,82092,88707,14488,14611,14857,14812,15020,14909
46129,"Walworth, SD",210730,230217,239657,235142,235483,228344,38666,41324,43893,42808,42753,41952,5450,5571,5460,5493,5508,5443
46135,"Yankton, SD",882607,939123,919179,951262,968502,1020514,39309,41728,40681,41943,42675,44953,22453,22506,22595,22680,22695,22702
46137,"Ziebach, SD",46503,57276,52847,52901,76474,58705,16461,20182,18401,18686,27090,20944,2825,2838,2872,2831,2823,2803
47000,Tennessee state total,226633982,239633734,250285838,252091031,263437186,277832327,35653,37452,38771,38806,40233,42094,6356585,6398408,6455469,6496130,6547779,6600299
47001,"Anderson, TN",2576070,2701351,2724779,2703895,2787042,2926695,34277,35912,36160,35840,36972,38637,75154,75222,75354,75443,75382,75749
47003,"Bedford, TN",1246840,1324552,1385679,1446448,1545210,1633375,27644,29253,30571,31643,33282,34618,45103,45279,45327,45712,46428,47183
47005,"Benton, TN",474768,498813,516404,517372,521069,539400,28788,30377,31567,31778,32334,33443,16492,16421,16359,16281,16115,16129
47007,"Bledsoe, TN",250286,256966,267463,273986,290775,300473,19447,20018,20918,19886,20018,20719,12870,12837,12786,13778,14526,14502
47009,"Blount, TN",3927811,4160962,4368988,4433111,4612470,4822945,31893,33658,35234,35481,36571,37900,123156,123623,123998,124943,126124,127253
47011,"Bradley, TN",3118019,3339095,3544213,3559633,3686056,3873822,31446,33388,35014,34923,35767,37216,99155,100009,101222,101929,103058,104091
47013,"Campbell, TN",1100415,1136271,1170463,1180310,1182777,1231569,27027,28008,28944,29353,29636,30981,40716,40570,40439,40211,39910,39752
47015,"Cannon, TN",384351,401439,419490,424587,438918,462481,27852,29204,30292,30805,31996,33416,13800,13746,13848,13783,13718,13840
47017,"Carroll, TN",883085,915488,938333,959817,946419,973081,31022,32045,32800,33711,33553,34865,28466,28569,28608,28472,28207,27910
47019,"Carter, TN",1567404,1646728,1676502,1666171,1709738,1774056,27326,28647,29232,29218,30337,31407,57360,57483,57352,57025,56358,56486
47021,"Cheatham, TN",1223974,1300135,1378974,1401869,1432628,1517177,31288,33337,35127,35584,36074,38177,39120,39000,39257,39396,39714,39741
47023,"Chester, TN",450083,473713,492879,491409,495390,518910,26209,27522,28639,28325,28505,29701,17173,17212,17210,17349,17379,17471
47025,"Claiborne, TN",887638,924468,955451,944075,950912,988078,27537,28814,30119,29878,30069,31161,32234,32084,31723,31598,31624,31709
47027,"Clay, TN",212041,227025,228990,229165,239754,244250,27036,29035,29373,29475,30976,31431,7843,7819,7796,7775,7740,7771
47029,"Cocke, TN",901460,943050,962741,979516,987292,1026943,25279,26651,27148,27741,27981,29206,35660,35385,35463,35309,35285,35162
47031,"Coffee, TN",1656087,1727480,1794527,1814076,1898735,1990844,31378,32668,33779,34022,35399,36679,52778,52880,53125,53321,53638,54277
47033,"Crockett, TN",469046,514508,509568,537857,514326,525163,32162,35347,34876,36847,35144,35968,14584,14556,14611,14597,14635,14601
47035,"Cumberland, TN",1646147,1726963,1802491,1826678,1908675,1978228,29292,30510,31596,31780,32956,33973,56198,56604,57048,57478,57915,58229
47037,"Davidson, TN",29836832,31102451,30976369,30962977,34500764,37617693,47501,48919,47706,46954,51563,55411,628131,635799,649318,659428,669094,678889
47039,"Decatur, TN",370025,383984,392371,389179,386677,398181,31548,32867,33657,33260,32965,34149,11729,11683,11658,11701,11730,11660
47041,"DeKalb, TN",545904,555700,578244,588489,607952,647319,29166,29566,30590,30814,31646,33746,18717,18795,18903,19098,19211,19182
47043,"Dickson, TN",1510662,1569187,1630969,1653328,1727835,1851063,30397,31425,32520,32938,34152,35952,49697,49934,50153,50195,50592,51487
47045,"Dyer, TN",1268198,1339264,1389023,1375698,1402788,1445722,33094,35113,36327,36077,37044,38153,38321,38142,38237,38132,37868,37893
47047,"Fayette, TN",1567269,1646001,1749868,1764541,1798196,1866169,40806,42724,45316,45519,46109,47649,38408,38526,38615,38765,38999,39165
47049,"Fentress, TN",453882,466599,484520,511111,514902,528373,25317,25892,27039,28496,28827,29490,17928,18021,17919,17936,17862,17917
47051,"Franklin, TN",1235393,1282692,1356588,1384314,1430642,1482076,30163,31405,33283,33553,34575,35757,40957,40844,40759,41258,41378,41449
47053,"Gibson, TN",1545745,1624131,1677430,1731142,1724794,1778459,31087,32577,33776,35014,34844,36002,49723,49855,49663,49441,49501,49399
47055,"Giles, TN",865426,903988,940447,961126,990343,1047533,29438,30827,32512,33446,34374,36189,29398,29325,28926,28737,28811,28946
47057,"Grainger, TN",572330,594533,622678,628786,649180,676758,25203,26166,27512,27745,28454,29623,22709,22722,22633,22663,22815,22846
47059,"Greene, TN",2235938,2314085,2364319,2425040,2454598,2580111,32483,33547,34444,35524,35879,37622,68834,68981,68643,68265,68413,68580
47061,"Grundy, TN",340546,359223,374937,374985,372029,389457,24821,26359,27512,27822,27672,28975,13720,13628,13628,13478,13444,13441
47063,"Hamblen, TN",1844055,1998738,2005017,2034663,2094112,2199794,29478,31814,31969,32269,33243,34696,62558,62826,62718,63054,62994,63402
47065,"Hamilton, TN",13547628,14367924,15301630,15220417,15738925,16451482,40163,42145,44256,43607,44866,46460,337313,340918,345752,349036,350800,354098
47067,"Hancock, TN",140480,141269,144613,145602,152000,155971,20622,21050,21662,21948,22964,23733,6812,6711,6676,6634,6619,6572
47069,"Hardeman, TN",637519,661004,680048,701411,687064,704372,23474,24626,25640,26719,26486,27400,27158,26842,26523,26251,25941,25707
47071,"Hardin, TN",782644,824504,860964,858816,865873,888552,30042,31851,33096,33029,33505,34499,26052,25886,26014,26002,25843,25756
47073,"Hawkins, TN",1574593,1650880,1707211,1682883,1718537,1772677,27687,29148,30179,29660,30385,31391,56872,56637,56569,56740,56558,56471
47075,"Haywood, TN",498688,544302,544510,598614,524870,514483,26570,29357,29828,32842,28845,28546,18769,18541,18255,18227,18196,18023
47077,"Henderson, TN",795678,839111,871746,867339,889901,910566,28625,29934,31106,31003,31763,32503,27797,28032,28025,27976,28017,28015
47079,"Henry, TN",1003063,1073495,1121703,1172217,1181952,1218087,30977,33175,34671,36377,36637,37891,32381,32359,32353,32224,32261,32147
47081,"Hickman, TN",594614,625605,646927,660456,673927,712332,24113,25692,26797,27325,27634,29238,24659,24350,24142,24170,24388,24363
47083,"Houston, TN",228396,240685,247390,243069,253757,257704,27048,28859,29381,29342,30729,31624,8444,8340,8420,8284,8258,8149
47085,"Humphreys, TN",559958,579015,598260,596427,622622,654351,30149,31468,32694,32699,34346,36082,18573,18400,18299,18240,18128,18135
47087,"Jackson, TN",288335,292720,301618,308758,314450,325197,24906,25476,26225,26839,27396,28256,11577,11490,11501,11504,11478,11509
47089,"Jefferson, TN",1423729,1481583,1538770,1556202,1626502,1703387,27587,28532,29428,29748,30875,31994,51608,51927,52289,52312,52680,53240
47091,"Johnson, TN",461134,476599,496285,504303,513085,544585,25219,26170,27384,28015,28637,30543,18285,18212,18123,18001,17917,17830
47093,"Knox, TN",16136876,17223456,18373749,18281369,19281975,20241530,37265,39455,41655,41158,42981,44849,433035,436530,441097,444170,448617,451324
47095,"Lake, TN",160544,178786,182410,192110,184014,183760,20530,23001,23665,24904,24010,24256,7820,7773,7708,7714,7664,7576
