customer_id,gender,marital,education,job_status,income,age
8227395,M,MARRIED,COLLEGE,UNEMPLOYED,1233.48,33
8284103,M,MARRIED,COLLEGE,UNEMPLOYED,0,53
8352862,M,MARRIED,COLLEGE,UNEMPLOYED,10000,51
8361136,M,MARRIED,UNEDUCATED,UNEMPLOYED,15000,33
8392389,M,MARRIED,UNIVERSITY,UNEMPLOYED,0,40
8424838,M,MARRIED,UNEDUCATED,UNEMPLOYED,2000,33
8458724,M,MARRIED,MASTERS,UNEMPLOYED,400,42
8541876,M,MARRIED,UNEDUCATED,UNEMPLOYED,0,48
8555126,F,MARRIED,UNEDUCATED,UNEMPLOYED,0,34
8604420,M,MARRIED,UNEDUCATED,UNEMPLOYED,0,43
8610632,F,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,0,45
8615214,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,0,39
8637550,M,MARRIED,UNIVERSITY,UNEMPLOYED,1500,37
8679876,M,MARRIED,COLLEGE,UNEMPLOYED,4000,36
8686365,M,MARRIED,COLLEGE,UNEMPLOYED,0,58
8775780,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,0,41
8800131,M,MARRIED,UNIVERSITY,UNEMPLOYED,400,49
8842379,M,MARRIED,HIGH SCHOOL,UNEMPLOYED,1500,41
9023974,M,MARRIED,UNEDUCATED,UNEMPLOYED,0,45
9083675,M,MARRIED,COLLEGE,UNEMPLOYED,3000,33
9123113,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,0,59
9123251,M,MARRIED,UNEDUCATED,UNEMPLOYED,10000,35
9168198,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,2000,31
9194589,F,MARRIED,UNIVERSITY,UNEMPLOYED,0,55
9196863,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,0,43
9258298,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,2000,51
9275644,M,MARRIED,COLLEGE,UNEMPLOYED,0,45
9317582,M,MARRIED,COLLEGE,UNEMPLOYED,3450,34
9337190,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,4500,43
9410984,M,MARRIED,COLLEGE,UNEMPLOYED,2300,42
9464997,F,MARRIED,HIGH SCHOOL,UNEMPLOYED,0,33
9481320,M,MARRIED,PHD,UNEMPLOYED,0,39
9537676,M,MARRIED,COLLEGE,UNEMPLOYED,2000,35
9602600,M,MARRIED,COLLEGE,UNEMPLOYED,5000,44
9699926,F,MARRIED,COLLEGE,UNEMPLOYED,0,30
9741001,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,1500,46
9793269,M,MARRIED,COLLEGE,UNEMPLOYED,2250,56
9801726,M,MARRIED,COLLEGE,UNEMPLOYED,10000,53
9822860,M,MARRIED,UNIVERSITY,UNEMPLOYED,0,32
9866659,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,0,32
9919685,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,0,47
9942158,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,0,60
9983931,M,MARRIED,PRIMARY SCHOOL,UNEMPLOYED,0,50
10015712,M,MARRIED,UNEDUCATED,UNEMPLOYED,0,47
10022143,M,MARRIED,COLLEGE,UNEMPLOYED,0,46
10045386,M,MARRIED,UNIVERSITY,UNEMPLOYED,4000,51
10110663,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,4000,40
10114708,M,MARRIED,MASTERS,UNEMPLOYED,4000,38
10298267,M,MARRIED,MIDDLE SCHOOL,UNEMPLOYED,0,42
