districtID,NAME,所属省,区县,经济,Area_km2,province,city,county,town2010,Popu,Popu_float,Area_COMP,Pop_Sum,Dens_Pob
99,甘家口街道,北京市,海淀区,11049.2,6.56892000000,北京市,北京市,海淀区,甘家口街道,118455,27790,6.56892000000,146245,22263.20000000000
100,田村路街道,北京市,海淀区,622.2,7.55095000000,北京市,北京市,海淀区,田村路街道,106744,43708,7.55095000000,150452,19924.90000000000
101,新街口街道,北京市,西城区,8633,3.61967000000,北京市,北京市,西城区,新街口街道,95497,28605,3.61967000000,124102,34285.40000000000
102,八里庄街道,北京市,海淀区,1441.1,6.38554000000,北京市,北京市,海淀区,八里庄街道,107542,32206,6.38554000000,139748,21885.10000000000
103,什刹海街道,北京市,西城区,978,5.90448000000,北京市,北京市,西城区,什刹海街道,95433,29901,5.90448000000,125334,21226.90000000000
104,龙泉镇,北京市,门头沟区,103.5,5.06005000000,北京市,北京市,门头沟区,大峪街道,80413,10136,5.06005000000,90549,17894.90000000000
105,交道口街道,北京市,东城区,286.4,1.52026000000,北京市,北京市,东城区,交道口街道,49196,9400,1.52026000000,58596,38543.40000000000
106,南磨房地区（乡）,北京市,朝阳区,3515.11884625893,35.81070000000,北京市,北京市,朝阳区,呼家楼街道,61588,19370,35.81070000000,80958,2260.72000000000
107,金顶街街道,北京市,石景山区,138.01357,4.15983000000,北京市,北京市,石景山区,金顶街街道,75736,11822,4.15983000000,87558,21048.50000000000
108,东辛房街道,北京市,门头沟区,21.8,5.57212000000,北京市,北京市,门头沟区,东辛房街道,27335,3288,5.57212000000,30623,5495.75000000000
109,广宁街道,北京市,石景山区,277.86678,5.51035000000,北京市,北京市,石景山区,广宁街道,17395,5874,5.51035000000,23269,4222.78000000000
110,安定门街道,北京市,东城区,428.1,1.88225000000,北京市,北京市,东城区,安定门街道,44358,8963,1.88225000000,53321,28328.30000000000
111,北新桥街道,北京市,东城区,7262.2,2.68880000000,北京市,北京市,东城区,北新桥街道,82273,14351,2.68880000000,96624,35935.70000000000
112,展览路街道,北京市,西城区,7684,5.77913000000,北京市,北京市,西城区,展览路街道,130925,36153,5.77913000000,167078,28910.60000000000
113,东直门街道,北京市,东城区,15307.4,1.95568000000,北京市,北京市,东城区,东直门街道,46018,11124,1.95568000000,57142,29218.50000000000
114,平房地区（乡）,北京市,朝阳区,1503.41830196005,24.85120000000,北京市,北京市,朝阳区,平房地区,120605,75132,24.85120000000,195737,7876.36000000000
115,永顺镇,北京市,通州区,,28.52650000000,北京市,北京市,通州区,永顺地区,234604,31715,28.52650000000,266319,9335.85000000000
116,城子街道,北京市,门头沟区,54.1,2.35853000000,北京市,北京市,门头沟区,城子街道,34555,4960,2.35853000000,39515,16754.10000000000
117,紫竹院街道,北京市,海淀区,3789.3,5.70670000000,北京市,北京市,海淀区,紫竹院街道,138411,26349,5.70670000000,164760,28871.30000000000
118,东风地区（乡）,北京市,朝阳区,1081.70689684925,11.37440000000,北京市,北京市,朝阳区,东风地区,86525,46292,11.37440000000,132817,11676.80000000000
119,酒仙桥街道,北京市,朝阳区,2765.12396928342,1.46008000000,,,,,18473,2292,1.46008000000,20765,14221.80000000000
120,北下关街道,北京市,海淀区,2546.6,5.98670000000,北京市,北京市,海淀区,北下关街道,158776,40945,5.98670000000,199721,33360.80000000000
121,左家庄街道,北京市,朝阳区,4311.39912135636,9.98184000000,北京市,北京市,朝阳区,麦子店街道,31741,12619,9.98184000000,44360,4444.07000000000
122,香河园街道,北京市,朝阳区,1401.41899869138,1.81476000000,北京市,北京市,朝阳区,香河园街道,51880,14310,1.81476000000,66190,36473.10000000000
123,德胜街道,北京市,西城区,4691,3.90904000000,北京市,北京市,西城区,德胜街道,116768,26430,3.90904000000,143198,36632.50000000000
124,和平里街道,北京市,东城区,11044.4,4.94203000000,北京市,北京市,东城区,和平里街道,112058,22311,4.94203000000,134369,27189.00000000000
125,曙光街道,北京市,海淀区,2908.8,5.43035000000,北京市,北京市,海淀区,曙光街道,102397,45217,5.43035000000,147614,27183.10000000000
126,安贞街道,北京市,朝阳区,1826.55895181121,2.44749000000,北京市,北京市,朝阳区,安贞街道,68454,19441,2.44749000000,87895,35912.30000000000
127,古城街道,北京市,石景山区,2397.85774,31.47520000000,北京市,北京市,石景山区,古城街道,59783,24939,31.47520000000,84722,2691.71000000000
128,北太平庄街道,北京市,海淀区,4542,13.87100000000,北京市,北京市,海淀区,北太平庄街道,201614,66041,13.87100000000,267655,19296.00000000000
129,小关街道,北京市,朝阳区,2003.98631127856,5.83734000000,北京市,北京市,朝阳区,和平街街道,108406,20962,5.83734000000,129368,22162.20000000000
130,王平镇,北京市,门头沟区,3.7,49.88000000000,北京市,北京市,门头沟区,王平地区,4364,642,49.88000000000,5006,100.36100000000
131,太阳宫地区（乡）,北京市,朝阳区,1511.13253498037,5.69730000000,北京市,北京市,朝阳区,太阳宫地区,70367,25068,5.69730000000,95435,16750.90000000000
132,燕园街道,北京市,海淀区,1973.1,0.99234600000,北京市,北京市,海淀区,燕园街道,37548,6546,0.99234600000,44094,44434.10000000000
133,大台街道,北京市,门头沟区,3.1,80.10500000000,北京市,北京市,门头沟区,大台街道,11296,4531,80.10500000000,15827,197.57800000000
134,中关村街道,北京市,海淀区,3917,2.88925000000,北京市,北京市,海淀区,中关村街道,159637,63333,2.88925000000,222970,77172.30000000000
135,五里坨街道,北京市,石景山区,77.3294,23.98200000000,北京市,北京市,石景山区,五里坨街道,30462,10739,23.98200000000,41201,1718.00000000000
136,将台地区（乡）,北京市,朝阳区,1698.84553847481,14.78090000000,北京市,北京市,朝阳区,将台地区,114994,59890,14.78090000000,174884,11831.80000000000
137,亚运村街道,北京市,朝阳区,3017.12224794719,4.94181000000,北京市,北京市,朝阳区,亚运村街道,72415,21837,4.94181000000,94252,19072.40000000000
138,燕园街道,北京市,海淀区,,0.20206300000,,,,,0,0,0.20206300000,0,0.00000000000
139,万柳地区（海淀乡）,北京市,海淀区,169.8,9.95483000000,北京市,北京市,海淀区,海淀街道,144700,46563,9.95483000000,191263,19213.10000000000
140,东坝地区（乡）,北京市,朝阳区,1292.56259940465,24.37970000000,北京市,北京市,朝阳区,东坝地区,88541,48308,24.37970000000,136849,5613.24000000000
141,望京街道,北京市,朝阳区,1698.84553847481,9.89045000000,北京市,北京市,朝阳区,望京街道,168167,72272,9.89045000000,240439,24310.20000000000
142,永定镇,北京市,门头沟区,3.1,36.47560000000,北京市,北京市,门头沟区,龙泉镇,32149,7254,36.47560000000,39403,1080.26000000000
143,清华园街道,北京市,海淀区,1566.7,3.20416000000,北京市,北京市,海淀区,清华园街道,51785,6396,3.20416000000,58181,18158.00000000000
144,学院路街道,北京市,海淀区,1907.2,8.79861000000,北京市,北京市,海淀区,学院路街道,243307,67946,8.79861000000,311253,35375.20000000000
145,大屯街道,北京市,朝阳区,3566.5470663944,9.90730000000,北京市,北京市,朝阳区,大屯街道,141433,54923,9.90730000000,196356,19819.30000000000
146,四季青镇,北京市,海淀区,2197.6,63.03730000000,北京市,北京市,海淀区,香山街道,28535,16324,63.03730000000,44859,711.62600000000
147,东升地区（乡）,北京市,海淀区,315,2.59216000000,,,,,15692,9247,2.59216000000,24939,9620.93000000000
148,金盏地区（乡）,北京市,朝阳区,1683.41707243417,50.23540000000,北京市,北京市,朝阳区,金盏地区,57618,39801,50.23540000000,97419,1939.25000000000
149,王平,北京市,门头沟区,,23.95250000000,,,,,2084,307,23.95250000000,2391,99.82260000000
150,宋庄镇,北京市,通州区,1323.1,113.19400000000,北京市,北京市,通州区,宋庄镇,104143,38850,113.19400000000,142993,1263.26000000000
