districtID,districtNAME,districtProvince,districtRegion,Perimeter,Area,Economy
122,香河园街道,北京市,朝阳区,9495.72844696000,3094865.73737000022,1401.41899869138
123,德胜街道,北京市,西城区,13680.05669860000,6666039.05319999997,4691
124,和平里街道,北京市,东城区,17702.18364470000,8426928.84617000073,11044.4
125,曙光街道,北京市,海淀区,13334.09964320000,9258902.11250000075,2908.8
126,安贞街道,北京市,朝阳区,11950.18728050000,4174858.65646000020,1826.55895181121
127,古城街道,北京市,石景山区,45600.79029250000,53618478.96580000222,2397.85774
128,北太平庄街道,北京市,海淀区,25945.14294350000,23661272.05829999968,4542
129,小关街道,北京市,朝阳区,19184.64203260000,9958443.41004999913,2003.98631127856
130,王平镇,北京市,门头沟区,44341.60073250000,85024897.52060000598,3.7
131,太阳宫地区（乡）,北京市,朝阳区,22543.48538690000,9719646.46420999989,1511.13253498037
132,燕园街道,北京市,海淀区,5095.36543675000,1693871.43195000011,1973.1
133,大台街道,北京市,门头沟区,65102.21315960000,136534216.75900000334,3.1
134,中关村街道,北京市,海淀区,8908.34071342000,4930415.32163999975,3917
135,五里坨街道,北京市,石景山区,33693.58799250000,40901810.59470000118,77.3294
136,将台地区（乡）,北京市,朝阳区,30926.01515400000,25218666.71680000052,1698.84553847481
137,亚运村街道,北京市,朝阳区,13858.54409680000,8433463.94230999984,3017.12224794719
138,燕园街道,北京市,海淀区,2782.22317402000,344913.66891299997,
139,万柳地区（海淀乡）,北京市,海淀区,23104.34331700000,16983701.04410000145,169.8
140,东坝地区（乡）,北京市,朝阳区,33952.68794360000,41582621.38009999692,1292.56259940465
141,望京街道,北京市,朝阳区,18678.59420130000,16880566.69500000030,1698.84553847481
142,永定镇,北京市,门头沟区,78709.18479070000,62183377.05799999833,3.1
143,清华园街道,北京市,海淀区,9793.75157721000,5470859.12813000008,1566.7
144,学院路街道,北京市,海淀区,17331.71926620000,15021325.78820000030,1907.2
145,大屯街道,北京市,朝阳区,18521.15455660000,16916035.49219999835,3566.5470663944
146,四季青镇,北京市,海淀区,58686.59192530000,107539959.52799999714,2197.6
147,东升地区（乡）,北京市,海淀区,12827.03156010000,4427332.49775000010,315
148,金盏地区（乡）,北京市,朝阳区,48733.53671270000,85730869.92960000038,1683.41707243417
149,王平,北京市,门头沟区,31895.31438000000,40890176.70639999956,
150,宋庄镇,北京市,通州区,92274.44631330000,193130046.00400000811,1323.1
151,马连洼街道,北京市,海淀区,12838.82562390000,8683423.83031000011,371.8
152,军庄镇,北京市,门头沟区,34183.99632550000,57636916.84409999847,13.5
153,上地街道,北京市,海淀区,9664.59331130000,5417185.51145999972,3718.7
154,奥运村地区（乡）,北京市,朝阳区,29149.38049410000,32320976.82039999962,1511.13253498037
155,来广营地区（乡）,北京市,朝阳区,58967.35245250000,98189557.90260000527,5023.67997023253
156,西三旗街道,北京市,海淀区,25950.91468070000,17604401.51339999959,576.5
157,温泉镇,北京市,海淀区,35397.77382560000,56389369.29839999974,322
158,清水镇,北京市,门头沟区,118849.04852200000,572463776.62199997902,8.8
159,孙河地区（乡）,北京市,朝阳区,54908.95941800000,59593926.81780000031,1040.56432074088
160,李桥镇,北京市,顺义区,64886.86687710000,127355685.09900000691,994
161,机场街道,北京市,朝阳区,29685.51280220000,18233056.09290000051,4974.82316110384
162,马坊地区,北京市,平谷区,45381.73352610000,61315948.04710000008,147.3
163,东小口镇,北京市,昌平区,33342.30235370000,29179596.08089999855,202.4
164,石园街道,北京市,顺义区,16824.42114680000,16256585.45580000058,322
165,回龙观镇,北京市,昌平区,37755.02696860000,51059199.16130000353,1238.5
166,苏家坨镇,北京市,海淀区,154519.30228700000,307322109.02499997616,205.9
167,李遂镇,北京市,顺义区,42501.01772120000,70014952.05900000036,350
168,东高村镇,北京市,平谷区,67946.79546199999,94318690.14740000665,41
169,后沙峪镇,北京市,顺义区,53134.77663680000,92903568.69269999862,784
170,斋堂镇,北京市,门头沟区,147266.01003400001,644452987.33299994469,27.7
171,仁和镇,北京市,顺义区,67257.35247529999,52994885.06710000336,1162
172,光明街道,北京市,顺义区,13200.52460580000,6847151.93169999961,392
173,胜利街道,北京市,顺义区,10232.32455280000,4991413.69108999986,546
174,滨河街道,北京市,平谷区,9265.82514848000,5530354.50224999990,432
175,旺泉街道,北京市,顺义区,21295.24512870000,21352270.17880000174,728
176,马昌营镇,北京市,平谷区,41101.83184730000,48062344.11219999939,89.8
177,北七家镇,北京市,昌平区,57522.51096420000,110167191.44200000167,941.4
178,平谷镇,北京市,平谷区,46572.41971370000,33253740.83139999956,
179,上庄镇,北京市,海淀区,40605.70706960000,64967787.05349999666,70.3
180,南法信镇,北京市,顺义区,33547.48413650000,34253145.66439999640,1008
181,兴谷街道,北京市,平谷区,21692.61916760000,13920541.59479999915,729.9
182,沙河镇,北京市,昌平区,58871.52201200000,94581769.32279999554,1163.1
183,雁翅镇,北京市,门头沟区,166370.46967399999,646132712.54200005531,4.2
184,大兴庄镇,北京市,平谷区,40918.90961900000,42376914.30810000002,30.9
185,南彩镇,北京市,顺义区,49370.33191240000,98485048.61969999969,616
186,高丽营镇,北京市,顺义区,49915.13169300000,104381574.22499999404,798
187,马坡镇,北京市,顺义区,41478.40321810000,65529477.16669999808,210
188,北务镇,北京市,顺义区,117003.16752800001,268537201.29699999094,448
189,杨镇,北京市,顺义区,72489.59014869999,164190278.23199999332,532
190,小汤山镇,北京市,昌平区,69466.13268110000,121332452.39000000060,563.5
191,马池口镇,北京市,昌平区,72695.98031010000,109120343.39800000191,216.1
192,城南街道,北京市,昌平区,17262.09271090000,9314597.01944000088,1216.8
